Cell Line,TF,DeepBind,DanQ,DeepD2V,DeepSEA,CBR-KAN
Gm12878,Batf,0.8099724677406179,0.8260327029595096,0.8595013814904413,0.8853194944366736,0.9097821116729664
Gm12878,Bcl11a,0.7384843000761169,0.7381465438386533,0.6457941413598495,0.7885332576427566,0.8485080103861937
Gm12878,Bcl3,0.7945165539966081,0.821473688655789,0.8738709026705129,0.8364106291215504,0.883558509926697
Gm12878,Bclaf,0.7377502944320629,0.8084800780703935,0.7927697467033263,0.8036790276493937,0.8343805745829174
Gm12878,Ebf,0.8379099019614396,0.8435265295453451,0.8700629033922833,0.8613907779248109,0.8885884081604906
Gm12878,Egr1,0.9272894257272974,0.9498780442107582,0.9585798872187448,0.962744737744207,0.9651576335648252
Gm12878,Elf1,0.8866672553218565,0.88323606489591,0.9127886826997368,0.9074457579852756,0.919786035675026
Gm12878,Ets1,0.8534874791720899,0.9031907346823242,0.9291331683514183,0.9115905578378244,0.927546313916345
Gm12878,Irf4,0.6932936168063436,0.7644891273247361,0.7891223548471593,0.7834223169795463,0.8421485461795812
Gm12878,Mef2a,0.6028075595486385,0.7843297107165849,0.8481634258421713,0.8271293180878474,0.8676590136093789
Gm12878,Nrsf,0.7987550954964001,0.8411583621952142,0.8979279111264076,0.9071213634861246,0.9108704044163612
Gm12878,Pax5c20,0.865492725650141,0.8805883262131202,0.8938354642921027,0.897577274577416,0.908331484295034
Gm12878,Pax5n19,0.7647564394161599,0.8055488556245907,0.8369027340479507,0.8364813209183549,0.879506559716864
Gm12878,Pbx3,0.8204481710535458,0.8313247696207079,0.8487317050015181,0.8757492269749465,0.8944621607575273
Gm12878,Pou2f2,0.7761297856213121,0.8035310123687143,0.8067294015683044,0.8212674658018557,0.863291668215239
Gm12878,Pu1,0.934522109102421,0.9488875100017856,0.9548358936487462,0.9583264113514228,0.9672083368734132
Gm12878,Rad21,0.9235780229382368,0.958786874116512,0.977834206778322,0.9786815052918164,0.9785372393242208
Gm12878,Sp1,0.7072963933969927,0.7546588740822974,0.7641583151326322,0.7693879821294601,0.8270520899893166
Gm12878,Srf,0.7578860374103695,0.8047500644620128,0.8902968147631038,0.8683832070846699,0.8962916973039249
Gm12878,Taf1,0.8785872881120252,0.8847589784829519,0.8883981162083,0.8940382549318401,0.9107412948541536
Gm12878,Tcf12,0.8938046110738266,0.8910929543017463,0.9047662219223656,0.9056505724428408,0.918028929298298
Gm12878,Usf1,0.9068422464105216,0.931144717895732,0.9398777379135906,0.9415303604204536,0.9392642577166102
Gm12878,Yy1,0.8793296809415053,0.8719394747594694,0.9129609039034798,0.9163350369489578,0.9355785254563878
H1hesc,Gabp,0.9114251052122324,0.9095592809986331,0.9528554898835648,0.9399429453726948,0.955809304253094
H1hesc,Nrsf,0.8212737592566068,0.8917691381564272,0.9360979694998725,0.9348532952203696,0.9439537108976244
H1hesc,Rad21,0.9582310765712782,0.9611403110677278,0.974233129597689,0.9791836957644316,0.9783550764815324
H1hesc,Sin3,0.9136751280031852,0.9080575553411208,0.9234511877909424,0.9236232350634742,0.9260095091215684
H1hesc,Sp1,0.8243593732751026,0.8356535684474647,0.8615240300919496,0.8584957582169188,0.9044448943890028
H1hesc,Srf,0.8811797923131911,0.8422254099245619,0.9406229353744024,0.9341538927569368,0.9496585052566878
H1hesc,Taf1,0.932420584175514,0.934270674482658,0.9292513554862752,0.9336928433052106,0.935832918463826
H1hesc,Tcf12,0.6872699749814365,0.7728194944168867,0.8517257547308875,0.8033709345924623,0.8696998650627662
H1hesc,Usf1,0.9558345399314956,0.9581136014818856,0.9702160073605516,0.9674621769315171,0.9723812074559636
H1hesc,Yy1,0.8791328865349722,0.897760941679311,0.9340865087445482,0.9271180282280902,0.9397924920664584
K562,Atf3,0.8931829747896173,0.9154361101522936,0.936727531244453,0.932628267070924,0.9434672505666216
K562,E2f6,0.9458952214992434,0.9517279059183248,0.9569157406898496,0.9523970987489736,0.9558127618910212
K562,Egr1,0.9587827863621502,0.9639964191817316,0.9574838063785148,0.9677310281897118,0.9705559517915352
K562,Elf1,0.951891483417507,0.9544938307096906,0.9553141674793704,0.9570517589267956,0.9613312754445574
K562,Ets1,0.8881273242971826,0.8973310682986151,0.8989663553942425,0.8979597170538212,0.91092121685458
K562,Fosl1,0.9110605464726328,0.9301320946634012,0.9365433926543044,0.9317272394861,0.9391540831122958
K562,Gabp,0.8815006445104694,0.877600299217188,0.9218758125833476,0.9211398714867908,0.9343984129310378
K562,Gata2,0.7590673132995638,0.7533239315394696,0.7995434704119008,0.830369337955323,0.855946387492695
K562,Hey1,0.8862091080243573,0.8918740797122906,0.8983901045759973,0.8960954023935699,0.8981917698111455
K562,Max,0.9336335366103384,0.9404031325434,0.943250287132288,0.9380598285007752,0.9467764385504046
K562,Nrsf,0.8199700348732815,0.8787428548516133,0.8986042960106382,0.8909749501992494,0.9160840283348158
K562,Pu1,0.9730937402912492,0.9789725475477632,0.9798080702221869,0.9809953488202736,0.9843043614702316
K562,Rad21,0.9569984813792984,0.9667899623746116,0.9805114964819146,0.9880778795974446,0.9855437360146266
K562,Srf,0.766795367026878,0.8443939866822093,0.8817315029590613,0.885147835748602,0.8913988580093167
K562,Taf1,0.9242801779488984,0.9244158916826796,0.935022061892268,0.9327634182705564,0.9340766849295692
K562,Usf1,0.9201728016691892,0.9265240667239528,0.946288936262127,0.9442443115682114,0.947710146301558
K562,Yy1,0.927751256027628,0.9319597711874554,0.9404774829385728,0.9334000545520548,0.9414878351077672
